,Datetime,Tweet Id,Text,Username
26,2023-02-20 10:49:04+00:00,1627621349551386625,Cak Imin dan Puan akan Bertemu Empat Mata - Asumsi https://t.co/o8dEdsggMU #IndonesiaKuat #BangkitBersama,Disuruh_Iben
27,2023-02-20 10:49:02+00:00,1627621344153317382,Cak Imin Singgung Rangkap Jabatan Gus Ipul di PBNU - SINDOnews Nasional https://t.co/pGgaZWMsXT #IndonesiaKuat #BangkitBersama,Disuruh_Iben
28,2023-02-20 08:55:16+00:00,1627592711019827206,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa

#gaspoll #GusMuhaiminAsikPoll https://t.co/GQ3h1Reb3a",gaspoll2024
29,2023-02-20 08:51:34+00:00,1627591783231414272,"@Razieq97 @democrazymedia Jangan lupain juga  prabowo, puan, cak imin, airlangga... 😅😅",anto_suro
30,2023-02-20 07:49:09+00:00,1627576075214786560,"Jika Prabowo Inginkan Khofifah, Relakah Cak Imin? Pakar Beri Saran Masuk Akal - https://t.co/ezxwzWmReO https://t.co/jQuIvP93NA #IndonesiaKuat #BangkitBersama",Disuruh_Iben
31,2023-02-20 07:49:08+00:00,1627576069732839424,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa - detikNews https://t.co/5qHwgRXcjb #IndonesiaKuat #BangkitBersama",Disuruh_Iben
32,2023-02-20 07:49:07+00:00,1627576064464809985,Ketum PBNU Sindir Cak Imin Rebut PKB dari Gusdur - https://t.co/m18YJDoHNF https://t.co/l5eWV3XbPf #IndonesiaKuat #BangkitBersama,Disuruh_Iben
33,2023-02-20 07:19:34+00:00,1627568627292725248,Cak Imin Diprediksi Legowo Jika Prabowo Subianto-Puan Berpasangan - RMOL https://t.co/QZTFMYyCty #IndonesiaKuat #BangkitBersama,Ini_ajunk
34,2023-02-20 07:14:28+00:00,1627567346968842242,"Hidup saya  kok ndak pernah benci siapa2 ya. Semua saya ikuti dan saya hikmahi perjalanan nya. ketika semua pada kubu²an, sy ndak bisa mengkubu salah 1 nya. Saya pro Cak Nun, saya juga pendukung Pak Jokowi. Saya ikut Gus Dur, saya juga pendukung Cak Imin. Urip kok wenak e ngene..",wasikjogja
35,2023-02-20 04:15:33+00:00,1627522319592849408,"“Kalau Prabowo-Puan berpasangan, ada kemungkinan Ketua Umum PKB, Muhaimin Iskandar (Cak Imin), dapat menerimanya. Hubungan Megawati dan Cak Imin selama ini juga cukup dekat,” katanya.

https://t.co/CDjh3zotNK",rmol_id
36,2023-02-20 03:42:28+00:00,1627513992217505792,"@aniesbaswedan Kita ingin agar Indonesia lebih adil dan sejahtera.
Dan membutuhkan orang2 baik berani tampil ke depan. Tpi itu doang tdk akan cukup.
Sbb ini negri demokrasi yg harus dg vote terbanyak.
Ibu khofifah,(fatayat NU )
Cak imin, (PKB)
Yeni wahid (fanatik gusdurian)
Separoh NU disitu. https://t.co/nGgz9pvDD1",bonekadungu
37,2023-02-20 03:31:36+00:00,1627511259246776320,"Jika Prabowo Inginkan Khofifah, Relakah Cak Imin? Pakar Beri Saran Masuk Akal https://t.co/VA6MQFcjH1 #CakImin #Cawapres #MuhaiminIskandar #Pilpres2024",fajaronline
38,2023-02-20 03:29:13+00:00,1627510660966891520,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/AkDucUAvYl,ahmadhellishfau
39,2023-02-20 02:42:48+00:00,1627498979184504838,@raildenshogun min kmrn ak liat ada soto cak imin,yawnfeii_
40,2023-02-20 02:28:10+00:00,1627495294136102913,"Pendataan Sdgs Nasional
@cakimiNOW 
@cakimin 
@DPP_PKB 
@BagusMuhaiminS1 
@tppkemendes 
@MalikHaramain64 https://t.co/R2dkJyDXcx",muhamma39967166
41,2023-02-20 02:07:06+00:00,1627489994020655104,Cak Imin Diprediksi Legowo Jika Prabowo-Puan Berpasangan https://t.co/CDjh3zotNK,rmol_id
42,2023-02-20 01:14:04+00:00,1627476648651296768,"Bener kan ?
Pak Prabowo yg diberi lampu hijau maju utk maju pilpres.

Pak Prabowo bisa naik jd Presiden asal tdk berpasangan dgn Cak imin.
Mungkin wakilnya Ganjar.

Tapi nanti stlh pak Prabowo menang. Manusia yg bernafsu ingin jadi Presiden &amp; pendukungnya tdk menerima kekalahan.",Danki_Cebong
43,2023-02-20 00:54:08+00:00,1627471631684878337,Waduh cak imin piye? Mungkin faktor itu sampai susah masyk kabinet sekarang ya mak,andikoerniawan1
44,2023-02-20 00:29:44+00:00,1627465491752300544,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/ewpVulHDgN,SitikhairSitik1
45,2023-02-19 23:45:46+00:00,1627454426595348481,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa https://t.co/YvV0EAkZ5Y
@cakimiNOW 
@DPP_PKB",arek0218
46,2023-02-19 22:27:24+00:00,1627434705380605953,"“Sampai sekarang Prabowo sendiri masih belum tahu siapa cawapresnya, meskipun di koalisi Kebangkitan Indonesia Raya ada nama Cak Imin,"" kata Igor.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",AndiniSesilia
47,2023-02-19 21:22:18+00:00,1627418319598018560,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa
https://t.co/cWXoUqA3WA",IsmailMangngaga
48,2023-02-19 18:41:18+00:00,1627377804470894592,"@detikcom Semoga segera deklarasi, kalau masih tarik ulur, dikhwatirkan cak Imin angkat koper...🙈🙈🙈",Emerald72063957
49,2023-02-19 18:29:44+00:00,1627374895557488640,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/9s9pBtaK28,ahmadhellishfau
50,2023-02-19 17:55:31+00:00,1627366282814447616,"“Sampai sekarang Prabowo sendiri masih belum tahu siapa cawapresnya, meskipun di koalisi Kebangkitan Indonesia Raya ada nama Cak Imin,"" kata Igor.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",ratushafira2
51,2023-02-19 17:42:24+00:00,1627362982673149952,"“Sampai sekarang Prabowo sendiri masih belum tahu siapa cawapresnya, meskipun di koalisi Kebangkitan Indonesia Raya ada nama Cak Imin,"" kata Igor.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",AnastiDina
52,2023-02-19 17:21:48+00:00,1627357799125770240,"“Sampai sekarang Prabowo sendiri masih belum tahu siapa cawapresnya, meskipun di koalisi Kebangkitan Indonesia Raya ada nama Cak Imin,"" ucap Igor.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Lebih Baik Prabowo",Mandutptr
53,2023-02-19 17:16:38+00:00,1627356497108672516,"“Sampai sekarang Prabowo sendiri masih belum tahu siapa cawapresnya, meskipun di koalisi Kebangkitan Indonesia Raya ada nama Cak Imin,"" kata Igor.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",LeonaSisca
54,2023-02-19 16:55:25+00:00,1627351156707180544,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa 
https://t.co/WZ5qGEJ4YC",KangFathanNow
55,2023-02-19 15:47:56+00:00,1627334176935649283,"@UstdNyleneh saya ngetwit bgitu berdasarkan pengalaman NU di ciganjur mas. Wilayah gusdur, cak imin, saiful yusuf. Mungkin berbeda kalo di daerah sampean.",myaliakbar12
56,2023-02-19 15:46:53+00:00,1627333909376798720,@nahdiyinbersatu Sami lak ngoten yi tapi semenjak PKB dipimpin kalean cak imin kulo pun mboten nyoblos pkb,Achharisbonek
57,2023-02-19 15:29:32+00:00,1627329543781466113,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/0G1wHc8Ix3,ahmadhellishfau
58,2023-02-19 15:08:58+00:00,1627324367779811328,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa
https://t.co/Z0vPdA3LTO
@cakimiNOW 
@PecintaAlmusawa 
@B_1_MRS 
@Mjl_Rasulullah 
@Gardabangsaa",sahabatodie
59,2023-02-19 14:42:24+00:00,1627317683313348610,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa https://t.co/A6y2Sjva7J",ayub_elgenaro
60,2023-02-19 14:29:40+00:00,1627314479770869761,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/f2imzzrCtY,ahmadhellishfau
61,2023-02-19 14:23:59+00:00,1627313047638544385,"Seberapa Kuat Elektabilitas PKB Partai Pengusung Cak Imin Di Pemilu 2024? 
#dpppkb #dpwpkbjatim #dpcpkblamongan #cakiminnow #halimiskandarnu #gofurla #pkb #cakimin  #muhaiminiskandar #capres2024  #gusdur #politik #gaspol #fyp https://t.co/984mb2LK5K",LamonganPkb
62,2023-02-19 14:14:16+00:00,1627310604389355526,"Ketua Umum Partai Kebangkitan Bangsa (PKB) Abdul Muhaimin Iskandar (Cak Imin) mengatakan Isra Miraj mengandung dua makna penting. Pertama, menguji keyakinan umat Islam akan perjalanan Isra Miraj Nabi Muhammad SAW penuh keajaiban dan penuh kedahsyatan di luar logika sederhana.",DPP_PKB
63,2023-02-19 14:13:44+00:00,1627310467332083713,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa

https://t.co/fC5sCZbhph",DPP_PKB
64,2023-02-19 13:33:56+00:00,1627300452365922304,@msaid_didu Dan sdh kebaca bukan Cak Imin yg jadi cawapresnya tapi Eric Tohir,siagiansulben
65,2023-02-19 13:31:32+00:00,1627299848855908353,@ChoirulAnwar999 @Dennysiregar7 Cak imin om... 🤣🤣🤣,budydaiwa
66,2023-02-19 13:29:48+00:00,1627299412568600577,@Umar_Hasibuan__ Kalo PKB Ketum nya bukan cak Imin lain cerita gus @Umar_Hasibuan__,Rahadie6
67,2023-02-19 13:07:32+00:00,1627293809506934784,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa https://t.co/KtFlygQ4hC",billy4riez
68,2023-02-19 13:02:30+00:00,1627292542697107459,"@Achharisbonek @erickthohir Cak, wis volo blio blom? Ayah Imin maksudku

Wkwkwkwk",alyapedia
69,2023-02-19 12:52:13+00:00,1627289955386138625,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa - detikNews https://t.co/ZKqgGq4i9S #IndonesiaKuat #BangkitBersama",Disuruh_Iben
70,2023-02-19 12:52:09+00:00,1627289939292598272,Panas Saling Tuding dan Sindir Cak Imin Vs Yenny Wahid soal PKB - CNN Indonesia https://t.co/vIImjuxojM #IndonesiaKuat #BangkitBersama,Disuruh_Iben
71,2023-02-19 12:51:39+00:00,1627289812880457729,@dpcpkbjaksel @cakimin @DPP_PKB @Alam_PKBJaksel Katanya Prabowo cak imin,alimahfud200670
72,2023-02-19 11:52:12+00:00,1627274853228355584,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC

 https://t.co/9OmBjgJd44",pkbkuburaya
73,2023-02-19 11:51:26+00:00,1627274660076470272,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus https://t.co/t6AK2Id1fz",fraksipkbdiy
74,2023-02-19 11:29:17+00:00,1627269084978024449,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/RdxSLaYavr,ahmadhellishfau
75,2023-02-19 11:21:26+00:00,1627267108810915842,"Peringati Isra Miraj, Cak Imin ⁦@cakimiNOW⁩ Doakan Umat Islam Kuat Menata Bangsa https://t.co/YFucsbCuVO",masbams70
76,2023-02-19 10:35:30+00:00,1627255550693232641,Karena Zulhas sudah jadi anak Nahdliyyin. Sekarang kita tarik cak Imin jadi anak Muhammadiyin.,robby_karman
77,2023-02-19 10:33:48+00:00,1627255120726753280,@giginpraginanto Sekilas mirip cak imin,albanjary_rian
